City_ID,City,Country,Lat,Lng,Max Temp,Wind Speed,Current Description,Humidity,Cloudiness,Rain (inches),Snow (inches)
0,naze,JP,28.37,129.48,84.2,17.22,broken clouds,89,75,0.0,0
1,den helder,NL,52.96,4.76,61.0,25.28,drizzle,93,75,0.0,0
2,karakol,KG,42.49,78.39,71.29,9.06,clear sky,31,0,0.0,0
3,qaanaaq,GL,77.48,-69.36,37.87,2.28,overcast clouds,77,97,0.0,0
4,viransehir,TR,37.24,39.76,100.63,1.86,clear sky,10,0,0.0,0
5,cherskiy,RU,68.75,161.3,62.83,8.48,overcast clouds,44,95,0.0,0
6,geraldton,AU,-28.77,114.6,77.0,20.8,overcast clouds,27,92,0.0,0
7,rikitea,PF,-23.12,-134.97,72.0,16.04,few clouds,70,12,0.0,0
8,bredasdorp,ZA,-34.53,20.04,42.8,2.24,broken clouds,93,68,0.0,0
9,luanda,AO,-8.84,13.23,71.01,5.77,overcast clouds,84,94,0.0,0
10,mataura,NZ,-46.19,168.86,43.5,4.18,light rain,92,100,0.93,0
11,albany,US,42.6,-73.97,68.0,2.39,broken clouds,90,78,0.0,0
12,pevek,RU,69.7,170.31,47.97,10.51,overcast clouds,53,100,0.0,0
13,ushuaia,AR,-54.8,-68.3,28.4,2.24,fog,100,90,0.0,0
14,zyryanka,RU,65.75,150.85,53.73,7.63,broken clouds,56,84,0.0,0
15,koyelga,RU,54.65,60.9,71.29,8.63,clear sky,59,0,0.0,0
16,portland,US,45.52,-122.68,62.6,8.05,broken clouds,67,75,0.0,0
17,san ramon,US,37.78,-121.98,66.0,5.82,clear sky,59,1,0.0,0
18,bluff,NZ,-46.6,168.33,47.53,7.87,overcast clouds,86,100,0.0,0
19,busselton,AU,-33.65,115.33,68.0,15.05,broken clouds,38,77,0.0,0
20,ambilobe,MG,-13.2,49.05,81.91,2.19,scattered clouds,53,47,0.0,0
21,namibe,AO,-15.2,12.15,72.18,11.36,clear sky,36,0,0.0,0
22,punta arenas,CL,-53.15,-70.92,33.8,2.24,mist,94,100,0.0,0
23,montalvo,EC,-1.8,-79.33,71.1,1.48,broken clouds,80,59,0.0,0
24,pisco,PE,-13.7,-76.22,57.0,4.7,mist,93,20,0.0,0
25,klaksvik,FO,62.23,-6.59,48.2,5.82,overcast clouds,76,85,0.0,0
26,trat,TH,12.5,102.5,86.0,9.17,broken clouds,79,75,0.0,0
27,san patricio,MX,19.22,-104.7,76.91,3.87,scattered clouds,80,32,0.0,0
28,pathein,MM,16.78,94.73,82.29,13.67,moderate rain,83,93,2.67,0
29,yellowknife,CA,62.46,-114.35,57.2,5.82,shower rain,100,90,0.0,0
30,clyde river,CA,70.47,-68.59,42.8,9.17,overcast clouds,81,90,0.0,0
31,kembe,CF,4.62,21.89,71.94,1.66,light rain,95,99,0.51,0
32,bethel,US,41.37,-73.41,66.0,4.94,overcast clouds,97,100,0.0,0
33,kidal,ML,18.44,1.41,84.34,11.34,overcast clouds,13,91,0.0,0
34,kangaatsiaq,GL,68.31,-53.46,40.1,8.59,clear sky,91,0,0.0,0
35,santa catalina,PH,9.33,122.86,87.8,11.41,scattered clouds,70,40,0.0,0
36,mahebourg,MU,-20.41,57.7,69.8,12.75,light intensity shower rain,83,40,0.0,0
37,padang,ID,-0.95,100.35,85.55,4.7,light rain,68,80,0.99,0
38,waverley,ZA,-25.7,28.26,46.99,2.37,clear sky,93,0,0.0,0
39,east london,ZA,-33.02,27.91,50.0,6.93,clear sky,71,2,0.0,0
40,atuona,PF,-9.8,-139.03,79.88,22.35,clear sky,74,6,0.0,0
41,airai,TL,-8.93,125.41,62.08,6.53,light rain,98,66,0.36,0
42,lipari,IT,38.47,14.95,78.01,3.0,clear sky,76,0,0.0,0
43,acapulco,MX,16.86,-99.89,78.89,4.18,scattered clouds,77,32,0.0,0
44,labuhan,ID,-6.88,112.21,85.78,8.1,clear sky,56,0,0.0,0
45,adrar,MR,20.5,-10.07,88.05,7.43,clear sky,23,0,0.0,0
46,butaritari,KI,3.07,172.79,83.8,10.16,broken clouds,68,74,0.0,0
47,san quintin,MX,30.48,-115.95,66.16,10.42,clear sky,84,0,0.0,0
48,svetlogorsk,BY,52.63,29.73,68.72,5.61,overcast clouds,88,100,0.0,0
49,cape town,ZA,-33.93,18.42,52.0,6.93,broken clouds,93,70,0.0,0
50,ponta do sol,PT,32.67,-17.1,68.0,20.8,scattered clouds,64,40,0.0,0
51,tecoanapa,MX,16.52,-98.75,77.81,5.95,light rain,86,99,0.67,0
52,poshekhonye,RU,58.5,39.14,61.16,2.04,moderate rain,98,100,3.6,0
53,hovin,NO,63.11,10.22,50.0,2.93,overcast clouds,87,99,0.0,0
54,ternate,ID,0.8,127.4,83.03,3.62,moderate rain,71,14,1.35,0
55,arraial do cabo,BR,-22.97,-42.03,67.71,10.07,broken clouds,75,66,0.0,0
56,korla,CN,41.76,86.15,91.56,12.62,scattered clouds,15,49,0.0,0
57,saint-philippe,RE,-21.36,55.77,73.4,6.93,broken clouds,60,64,0.0,0
58,praia da vitoria,PT,38.73,-27.07,66.2,3.11,broken clouds,88,75,0.0,0
59,longyearbyen,SJ,78.22,15.64,41.0,13.87,light intensity drizzle,75,75,0.0,0
60,san policarpo,PH,12.18,125.51,83.91,9.17,moderate rain,76,99,1.55,0
61,jamestown,US,42.1,-79.24,71.6,1.59,broken clouds,78,75,0.0,0
62,bengkulu,ID,-3.8,102.27,85.5,7.83,overcast clouds,65,95,0.0,0
63,baikunthpur,IN,23.25,82.55,93.56,2.86,light rain,47,99,0.51,0
64,vaini,TO,-21.2,-175.2,69.8,9.17,scattered clouds,68,40,0.0,0
65,port hardy,CA,50.7,-127.42,57.2,4.7,broken clouds,76,75,0.0,0
66,ormara,PK,25.21,64.64,87.04,16.69,scattered clouds,79,47,0.0,0
67,kavieng,PG,-2.57,150.8,83.89,3.62,moderate rain,70,61,1.92,0
68,shingu,JP,33.73,135.98,77.0,17.22,light intensity shower rain,94,75,0.0,0
69,khatanga,RU,71.97,102.5,65.1,14.52,clear sky,32,0,0.0,0
70,brigantine,US,39.41,-74.36,73.4,3.36,clear sky,88,1,0.0,0
71,tabat,ID,-2.63,115.23,92.48,3.09,light rain,51,32,0.39,0
72,kuching,MY,1.55,110.33,89.6,3.36,scattered clouds,70,40,0.0,0
73,iqaluit,CA,63.75,-68.51,42.8,2.24,broken clouds,70,75,0.0,0
74,smithers,CA,54.78,-127.17,55.4,2.24,overcast clouds,87,90,0.0,0
75,orcopampa,PE,-15.27,-72.34,39.72,1.99,clear sky,54,0,0.0,0
76,puerto ayora,EC,-0.74,-90.35,69.01,4.0,broken clouds,94,84,0.0,0
77,vila velha,BR,-20.33,-40.29,70.0,9.17,scattered clouds,88,40,0.0,0
78,la ronge,CA,55.1,-105.28,59.0,2.24,few clouds,82,20,0.0,0
79,sekoma,BW,-24.4,23.88,47.95,6.46,clear sky,46,0,0.0,0
80,hithadhoo,MV,-0.6,73.08,85.24,11.43,overcast clouds,69,89,0.0,0
81,cidreira,BR,-30.18,-50.21,50.04,12.88,clear sky,76,0,0.0,0
82,aksu,CN,41.12,80.26,89.33,3.94,few clouds,14,11,0.0,0
83,reconquista,AR,-29.15,-59.65,45.97,8.34,clear sky,81,0,0.0,0
84,panzhihua,CN,26.59,101.71,75.0,0.31,moderate rain,71,81,1.45,0
85,port elizabeth,ZA,-33.92,25.57,44.6,2.24,broken clouds,93,52,0.0,0
86,vanavara,RU,60.34,102.28,79.88,6.71,broken clouds,34,59,0.0,0
87,avarua,CK,-21.21,-159.78,73.4,3.36,light rain,94,100,0.0,0
88,cayenne,GF,4.93,-52.33,75.2,4.5,broken clouds,100,75,0.0,0
89,puerto escondido,MX,15.85,-97.07,78.31,5.7,light rain,79,41,0.31,0
90,port alfred,ZA,-33.59,26.89,57.99,3.0,scattered clouds,57,44,0.0,0
91,oistins,BB,13.07,-59.53,80.6,18.34,broken clouds,78,75,0.0,0
92,kharar,IN,30.74,76.65,78.8,4.7,broken clouds,57,75,0.0,0
93,aksarka,RU,66.56,67.8,71.01,5.21,few clouds,40,23,0.0,0
94,northam,GB,51.03,-4.22,60.01,11.01,overcast clouds,99,100,0.0,0
95,castro,BR,-24.79,-50.01,40.5,3.76,clear sky,96,7,0.0,0
96,monroe,US,43.15,-77.68,73.99,4.7,moderate rain,78,75,1.02,0
97,barra patuca,HN,15.8,-84.28,78.96,4.41,light rain,88,98,0.69,0
98,hamilton,US,39.18,-84.53,75.2,2.64,clear sky,88,1,0.0,0
99,victoria,HK,22.29,114.16,89.01,10.83,light rain,66,100,0.95,0
100,new norfolk,AU,-42.78,147.06,55.0,3.0,overcast clouds,76,97,0.0,0
101,luderitz,NA,-26.65,15.16,59.0,3.36,clear sky,37,0,0.0,0
102,kodiak,US,57.79,-152.41,69.8,9.17,broken clouds,64,75,0.0,0
103,rocha,UY,-34.48,-54.33,43.74,10.38,broken clouds,83,75,0.0,0
104,kavaratti,IN,10.57,72.64,87.8,11.41,few clouds,74,20,0.0,0
105,doha,QA,25.29,51.53,108.0,18.34,clear sky,29,0,0.0,0
106,el monte,US,34.07,-118.03,70.0,2.08,clear sky,33,0,0.0,0
107,tuatapere,NZ,-46.13,167.68,48.22,4.47,overcast clouds,88,100,0.0,0
108,boone,US,39.03,-92.33,75.99,7.96,overcast clouds,91,100,0.0,0
109,foam lake,CA,51.65,-103.53,63.79,7.29,broken clouds,84,64,0.0,0
110,ostrovnoy,RU,68.05,39.51,60.03,13.29,overcast clouds,78,93,0.0,0
111,jaffna,LK,9.67,80.01,84.18,18.05,overcast clouds,77,100,0.0,0
112,coihaique,CL,-45.58,-72.07,28.4,2.01,few clouds,92,20,0.0,0
113,batemans bay,AU,-35.72,150.18,60.01,8.32,clear sky,47,4,0.0,0
114,nicoya,CR,10.15,-85.45,74.32,1.5,overcast clouds,92,100,0.0,0
115,belmonte,BR,-15.86,-38.88,69.8,2.24,scattered clouds,94,40,0.0,0
116,wakkanai,JP,45.41,141.67,73.4,17.22,broken clouds,60,75,0.0,0
117,ilulissat,GL,69.22,-51.1,41.0,4.7,clear sky,86,0,0.0,0
118,golyshmanovo,RU,56.4,68.37,70.34,7.2,overcast clouds,60,98,0.0,0
119,samana,DO,19.21,-69.34,77.36,3.62,broken clouds,90,61,0.0,0
120,jiayuguan,CN,39.82,98.3,88.81,7.31,clear sky,12,0,0.0,0
121,pangnirtung,CA,66.15,-65.71,47.61,0.13,clear sky,59,0,0.0,0
122,vestmannaeyjar,IS,63.44,-20.27,47.26,21.07,overcast clouds,75,93,0.0,0
123,nuuk,GL,64.18,-51.72,37.4,5.82,light snow,100,51,0.0,0
124,dargaville,NZ,-35.93,173.88,50.92,5.3,overcast clouds,76,88,0.0,0
125,winnemucca,US,40.97,-117.74,69.8,11.41,clear sky,18,1,0.0,0
126,torbay,CA,47.67,-52.73,46.99,2.24,overcast clouds,87,90,0.0,0
127,mabaruma,GY,8.2,-59.78,73.85,2.93,broken clouds,98,79,0.0,0
128,bereda,ES,43.27,-7.54,52.0,0.49,scattered clouds,100,45,0.0,0
129,faanui,PF,-16.48,-151.75,80.44,11.81,light rain,81,31,0.29,0
130,mayor pablo lagerenza,PY,-19.93,-60.77,59.61,3.67,broken clouds,54,56,0.0,0
131,srednekolymsk,RU,67.45,153.68,51.44,13.58,light rain,66,96,0.14,0
132,zykovo,RU,55.95,93.15,78.8,4.47,light rain,54,52,0.4,0
133,deputatskiy,RU,69.3,139.9,44.82,14.25,overcast clouds,63,97,0.0,0
134,gizo,SB,-8.1,156.84,82.85,11.34,moderate rain,77,57,1.77,0
135,chokurdakh,RU,70.63,147.92,41.95,14.83,light rain,84,100,0.22,0
136,saldanha,ZA,-33.01,17.94,41.0,1.12,broken clouds,86,60,0.0,0
137,suchdol nad luznici,CZ,48.89,14.88,62.01,2.75,clear sky,85,0,0.0,0
138,hualmay,PE,-11.1,-77.61,59.02,3.4,few clouds,82,19,0.0,0
139,hermanus,ZA,-34.42,19.23,55.94,11.54,broken clouds,54,78,0.0,0
