City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,naze,JP,84.2,28.37,129.48,奄美ポートタワーホテル
1,den helder,NL,61.0,52.96,4.76,Hotel Den Helder
2,karakol,KG,71.29,42.49,78.39,"Gostinitsa ""Al'tamira"""
5,cherskiy,RU,62.83,68.75,161.3,Gostinitsa
6,geraldton,AU,77.0,-28.77,114.6,Broadwater Mariner Resort
7,rikitea,PF,72.0,-23.12,-134.97,Pension Maro'i
9,luanda,AO,71.01,-8.84,13.23,EPIC SANA Luanda
11,albany,US,68.0,42.6,-73.97,
14,zyryanka,RU,53.73,65.75,150.85,Zyryanka
15,koyelga,RU,71.29,54.65,60.9,
16,portland,US,62.6,45.52,-122.68,Portland Marriott City Center
17,san ramon,US,66.0,37.78,-121.98,San Ramon Marriott
19,busselton,AU,68.0,-33.65,115.33,Observatory Guest House
20,ambilobe,MG,81.91,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
21,namibe,AO,72.18,-15.2,12.15,Hotel Chik Chik Namibe
23,montalvo,EC,71.1,-1.8,-79.33,Motel Los Laureles
24,pisco,PE,57.0,-13.7,-76.22,Hostal San Isidro Oficial
26,trat,TH,86.0,12.5,102.5,สวนหนิง-อัศ
27,san patricio,MX,76.91,19.22,-104.7,Hotel Cabo Blanco
29,yellowknife,CA,57.2,62.46,-114.35,The Explorer Hotel
32,bethel,US,66.0,41.37,-73.41,Courtyard by Marriott Danbury
33,kidal,ML,84.34,18.44,1.41,
35,santa catalina,PH,87.8,9.33,122.86,
36,mahebourg,MU,69.8,-20.41,57.7,Shandrani Beachcomber Resort & Spa
39,east london,ZA,50.0,-33.02,27.91,Tu Casa
40,atuona,PF,79.88,-9.8,-139.03,Villa Enata
42,lipari,IT,78.01,38.47,14.95,Hotel Villa Augustus
43,acapulco,MX,78.89,16.86,-99.89,HS Hotsson Smart Acapulco
44,labuhan,ID,85.78,-6.88,112.21,bador sepret
45,adrar,MR,88.05,20.5,-10.07,
46,butaritari,KI,83.8,3.07,172.79,Isles Sunset Lodge
47,san quintin,MX,66.16,30.48,-115.95,Old Mill Hotel
48,svetlogorsk,BY,68.72,52.63,29.73,Hotel Svetlogorsk JBIK
49,cape town,ZA,52.0,-33.93,18.42,Southern Sun Waterfront Cape Town
50,ponta do sol,PT,68.0,32.67,-17.1,Hotel do Campo
53,hovin,NO,50.0,63.11,10.22,"Horgøien Gård, laksefiske og overnatting"
55,arraial do cabo,BR,67.71,-22.97,-42.03,Pousada Porto Praia
57,saint-philippe,RE,73.4,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
58,praia da vitoria,PT,66.2,38.73,-27.07,Hotel Branco I
61,jamestown,US,71.6,42.1,-79.24,Hampton Inn & Suites Jamestown
62,bengkulu,ID,85.5,-3.8,102.27,Grage Hotel Bengkulu
64,vaini,TO,69.8,-21.2,-175.2,Keleti Beach Resort
65,port hardy,CA,57.2,50.7,-127.42,Airport Inn
66,ormara,PK,87.04,25.21,64.64,
68,shingu,JP,77.0,33.73,135.98,Shingu UI Hotel
69,khatanga,RU,65.1,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
70,brigantine,US,73.4,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
72,kuching,MY,89.6,1.55,110.33,Hilton Kuching
74,smithers,CA,55.4,54.78,-127.17,Prestige Hudson Bay Lodge
76,puerto ayora,EC,69.01,-0.74,-90.35,Finch Bay Galapagos Hotel
77,vila velha,BR,70.0,-20.33,-40.29,Hotel Vitória Palace
78,la ronge,CA,59.0,55.1,-105.28,Northland Motor Hotel
80,hithadhoo,MV,85.24,-0.6,73.08,Scoop Guest House
81,cidreira,BR,50.04,-30.18,-50.21,Novomar Pousada e Turismo Ltda
82,aksu,CN,89.33,41.12,80.26,Pudong Holiday Hotel
86,vanavara,RU,79.88,60.34,102.28,Church of Churches
87,avarua,CK,73.4,-21.21,-159.78,Paradise Inn
88,cayenne,GF,75.2,4.93,-52.33,Hôtel Le Dronmi
90,port alfred,ZA,57.99,-33.59,26.89,The Halyards Hotel
91,oistins,BB,80.6,13.07,-59.53,Butterfly Beach Hotel
92,kharar,IN,78.8,30.74,76.65,OYO 19817 Hotel Sartaj
93,aksarka,RU,71.01,66.56,67.8,
94,northam,GB,60.01,51.03,-4.22,Durrant House Hotel
98,hamilton,US,75.2,39.18,-84.53,Six Acres Bed & Breakfast
100,new norfolk,AU,55.0,-42.78,147.06,The Shingles Riverside Cottages
102,kodiak,US,69.8,57.79,-152.41,Best Western Kodiak Inn and Convention Center
104,kavaratti,IN,87.8,10.57,72.64,Bismillah Hotel And Lodging
106,el monte,US,70.0,34.07,-118.03,Ramada by Wyndham South El Monte
108,boone,US,75.99,39.03,-92.33,Cottonwoods RV Park
109,foam lake,CA,63.79,51.65,-103.53,Foam Lake Campground
110,ostrovnoy,RU,60.03,68.05,39.51,
