City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-07-02 21:01:49,-23.12,-134.97,70.61,69,0,22.01
1,Ribeira Grande,PT,2020-07-02 21:01:49,38.52,-28.7,69.8,68,20,4.7
2,Qaanaaq,GL,2020-07-02 21:01:49,77.48,-69.36,43.95,65,83,3.8
3,Matara,LK,2020-07-02 21:01:50,5.95,80.54,78.91,86,100,9.13
4,Busselton,AU,2020-07-02 21:00:22,-33.65,115.33,42.01,78,0,7.72
5,Oktyabrskiy,RU,2020-07-02 21:01:17,54.48,53.47,56.1,88,90,2.91
6,Albany,US,2020-07-02 21:01:49,42.6,-73.97,91.0,59,66,5.5
7,Boralday,KZ,2020-07-02 21:01:51,43.36,76.86,64.4,63,40,6.24
8,Cape Town,ZA,2020-07-02 21:01:51,-33.93,18.42,55.0,93,6,8.05
9,Bengkulu,ID,2020-07-02 21:01:26,-3.8,102.27,77.38,83,99,3.38
10,Kapaa,US,2020-07-02 20:59:43,22.08,-159.32,84.0,65,20,12.75
11,Vaitape,PF,2020-07-02 21:01:52,-16.52,-151.75,81.16,79,52,22.17
12,Dikson,RU,2020-07-02 21:01:53,73.51,80.55,44.91,77,21,9.73
13,Katsuura,JP,2020-07-02 21:01:53,35.13,140.3,75.2,83,75,6.93
14,Estevan,CA,2020-07-02 21:00:55,49.13,-102.98,78.01,64,75,9.17
15,Praia,CV,2020-07-02 20:58:46,14.92,-23.51,78.8,74,75,11.41
16,Hithadhoo,MV,2020-07-02 21:00:39,-0.6,73.08,84.06,66,99,2.91
17,Torbay,CA,2020-07-02 21:01:55,47.67,-52.73,55.99,100,90,6.93
18,Alekseyevka,RU,2020-07-02 21:01:55,50.63,38.69,65.79,68,0,2.93
19,Ponta Do Sol,PT,2020-07-02 21:01:55,32.67,-17.1,71.6,68,20,14.99
20,Spirit River,CA,2020-07-02 21:01:55,55.78,-118.84,64.0,87,75,6.93
21,Longyearbyen,SJ,2020-07-02 21:01:56,78.22,15.64,42.8,75,75,16.11
22,Cabo San Lucas,MX,2020-07-02 20:59:49,22.89,-109.91,86.0,74,40,11.41
23,Chapada Dos Guimaraes,BR,2020-07-02 21:01:56,-15.46,-55.75,84.2,32,3,6.93
24,Carnarvon,AU,2020-07-02 21:01:56,-24.87,113.63,57.2,67,0,6.93
25,Pevek,RU,2020-07-02 21:01:57,69.7,170.31,40.44,94,100,7.63
26,Shingu,JP,2020-07-02 21:01:57,33.73,135.98,69.44,72,100,2.08
27,Barrow,US,2020-07-02 21:01:57,71.29,-156.79,42.8,81,40,14.99
28,Bredasdorp,ZA,2020-07-02 21:01:58,-34.53,20.04,59.0,77,16,8.05
29,Orlik,RU,2020-07-02 21:01:58,52.52,99.83,52.57,74,0,1.99
30,Tessalit,ML,2020-07-02 21:01:58,20.2,1.01,96.78,9,0,11.36
31,Belyy Yar,RU,2020-07-02 21:01:58,53.6,91.39,64.4,93,40,11.18
32,Debre Sina,ET,2020-07-02 21:01:59,9.85,39.77,58.69,74,46,2.64
33,Ushuaia,AR,2020-07-02 21:01:59,-54.8,-68.3,30.2,92,40,4.7
34,Hermanus,ZA,2020-07-02 21:01:59,-34.42,19.23,55.0,91,61,6.78
35,Souillac,MU,2020-07-02 21:02:00,-20.52,57.52,69.8,83,75,8.05
36,Port Alfred,ZA,2020-07-02 21:02:00,-33.59,26.89,63.0,75,2,10.0
37,Punta Arenas,CL,2020-07-02 21:02:00,-53.15,-70.92,32.0,94,90,3.36
38,Suifenhe,CN,2020-07-02 21:02:00,44.4,131.17,60.66,100,93,1.45
39,Severo-Kurilsk,RU,2020-07-02 21:02:01,50.68,156.12,46.4,88,89,8.77
40,Puerto Ayora,EC,2020-07-02 21:02:01,-0.74,-90.35,78.8,61,20,24.16
41,Olafsvik,IS,2020-07-02 21:02:02,64.89,-23.71,54.27,68,0,9.15
42,Gazli,UZ,2020-07-02 21:02:02,40.13,63.45,69.58,23,41,12.53
43,Vaini,TO,2020-07-02 21:02:02,-21.2,-175.2,69.8,68,40,6.93
44,Avarua,CK,2020-07-02 21:02:03,-21.21,-159.78,78.8,78,44,4.7
45,Weinan,CN,2020-07-02 21:02:03,34.5,109.51,78.01,94,4,2.24
